beach_id,beach_name,area,country,region,lat,lon,timezone,beach_text_summary,ability_level,ability_level_long_text,local_vibe,local_vibe_long_text,crowd_factor,crowd_factor_long_text,spot_rating,spot_rating_long_text,shoulder_burn,shoulder_burn_long_text,water_quality,water_quality_long_text,hazards,access,bring_your,seabed,best_season
10,Bantham,Cornwall & Devon - South,England,UK + Ireland,50.2787,-3.8885,Europe/London,"South Devon's most famous spot, a good swell catcher with consistent banks sculpted in the mouth of the River Avon. There's a consistent right near the rivermouth and in the middle of the bay there's a right and a left. Inexperienced surfers watch out for rips, especially on dropping tides. Popular break, crowded when good.",Intermediate,"Good for all when small, best for experienced surfers when big.",Doable,Competitive with tight local crew on the peak.,Moderate,"Crowded when it's working, and never really quiet.",Fun,Consistent spot with good banks.,Light,"OK, except when big.",Fair,OK but can be nasty after rains due to runoff in the River Avon.,"Rips, crowds.","Drive through village, car park behind beach.","Shortboard, fish, longboard, bodyboard",Sand,"Works year round, but best September - February."
11,Kimmeridge,Southern England - West,England,UK + Ireland,50.6044,-2.1334,Europe/London,"There are a number of quality reefs here that start breaking in small swells and can hold a good size. The Bench (Broad Bench) breaks off the end of the headland with excellent rights and shorter lefts. It is on an MOD firing range so access is restricted - check first. To the east, outside the bay, are The Ledges, a number of right and left reefs with long walls. There are also waves in the bay. Usually crowded when good, with plenty of logs. Kimmeridge Bay is part of the private Smedmore Estate. There is a toll road leading down to the breaks - but fee includes parking.",Intermediate - advanced,"Best left to experienced surfers due to crowds, rips and reef.",Doable,Competitive.,Moderate,"Usually crowded, especially when good.",Fun,"The Bench can be excellent, hollow and fast. The Ledges are longer and rolling, but can be fast and walling.",Medium,Waves break far out so long paddles.,Clean,Clean.,"Crowds, reef, rocks, rips when big.",Toll road leads to car park - don't enter if closed. Access to The Bench past the pump is restricted so check first at Range Warden's Cabin.,"Shortboard, fish, longboard, sup",Flat ledge reef with rocks.,September - February.
12,Bournemouth,Southern England - West,England,UK + Ireland,50.7149,-1.873,Europe/London,"The pier helps consistent banks form to the east and west of the structure.  They break during the regular windswells, or more rare SW or W groundswell, when the waves can rise above the usual waist high, crowded onshores, to produce some decent, long walls. One of the most popular spots on the south coast with large local community.",Beginner - intermediate,"Good for all, beginners stick to main beach.",Doable,"Competitive, lots of local crew who will be on it.",Moderate,"Intense little area, doesn't take much to create a crowd.",Poor,"A spot that's often small and onshore, but can get good when the runes align.",Light,"OK, rip by the pier.",Clean,OK - can be sewage after heavy rains.,"Crowds, pier, rips.",Parking available in Bath Road South car park just back from the beach.,"Shortboard, fish, funboard, longboard, sup, bodyboard, bodysurfing",Sand,September - February are best when the big swells roll into the Channel.
60,Clearwater,Florida Gulf Coast,Florida - West Coast,Gulf Coast,27.9738,-82.8336,America/New_York,,,,,,,,,,,,,,,,,,
388,Surf City,New Jersey - Ocean County,New Jersey,New Jersey + New York,39.649,-74.1724,America/New_York,,,,,,,,,,,,,,,,,,
780,Las Frailes,Los Cabos,Baja California,"Mexico, Baja",23.382,-109.42,America/Mazatlan,,,,,,,,,,,,,,,,,,
781,Punta Arenas,Los Cabos,Baja California,"Mexico, Baja",23.554,-109.468,America/Mazatlan,,,,,,,,,,,,,,,,,,
14,East Wittering,Southern England - East,England,UK + Ireland,50.7648,-0.8762,Europe/London,"Huge stretch of sandy beach with pebbles and shingle at high tide. Better on the lower tides as it drops out below the many wooden groynes. Popular with windsurfers... for a reason - a mostly average surf spot that tends to break in windswells, but that can get good in a small, clean groundswell and light winds. Has a big local crew, especially popular with longboarders.",Beginner - intermediate,"Good for all, beginners watch out for rips.",Welcoming,Friendly vibe in line-up.,Moderate,Popular but loads of room to spread out.,Poor,"This is the Goldilocks of surf breaks - wants a clean groundswell, but not too small and not too big! Then the subtle banks can produce decent peaks with long walling waves. A more common windswell can be a confused jumble, with the odd fun ride to be had.",Medium,"OK when small, heavy paddle when big.",Fair,OK - can be sewage after heavy rains.,"Groynes, rips.","Not a lot of parking options on the beach, Marine Drive car park is close.","Shortboard, fish, funboard, longboard, sup, kiteboard",Sand and pebbles,September - February.
15,Brighton - West Pier,Southern England - East,England,UK + Ireland,50.8201,-0.1499,Europe/London,"Long, rolling, waves that are popular with longboarders, form close to the remnants of the burnt out West Pier. Better on lower tides, usually onshore, this is a cruisy spot. Most locals head elsewhere when a proper swell kicks in.",Beginner - intermediate,OK for those with low expectations or beginners. Watch out for rips.,Welcoming,Pretty chilled.,Moderate,"If its breaking OK, it won't be quiet.",Poor,Go with the right mindset and it'll be fun.,Light,"OK when small, long paddle when bigger.",Fair,Not amazing.,"Rips, debris around pier.",Parking is pretty limited unless you can snag one of the few Beachfront bays.,"Longboard, sup",Sand.,September - February are best when the big swells roll into the Channel.
16,Birling Gap,Southern England - East,England,UK + Ireland,50.74,0.2,Europe/London,,,,,,,,,,,,,,,,,,
18,Joss Bay,Southern England - East,England,UK + Ireland,51.3799,1.4471,Europe/London,"A central hub of the Kent surf scene, this bay has a left reef on its northern edge and right on its southern fringe. The middle of the bay can have peaks also. Pretty flexible - reefs better on higher tides, beach on lower. The shallow North Sea drains lots of the energy from the swells so needs a decent groundswell or more common local windswell.",Beginner - intermediate,Beginners stick to beach which is learner friendly.,Welcoming,Fairly relaxed.,Moderate,Popular spot when its on.,Poor,"Good on those rare clean groundswell days, but fun waves to be had even in windswells.",Medium,"OK when small, heavy paddle when big.",Clean,OK - can be sewage after heavy rains.,Reefs can be shallow. Rips.,Car park overlooking beach.,"Shortboard, fish, funboard, longboard, sup, bodyboard",Sand and chalky reefs.,September - February.
19,Lowestoft,East Anglia,England,UK + Ireland,52.4672,1.7486,Europe/London,,,,,,,,,,,,,,,,,,
20,Cromer,East Anglia,England,UK + Ireland,52.9327,1.3017,Europe/London,"The breaks are front and centre at Cromer next to the pier, where there are short rights and longer lefts. Needs a clean north, northeasterly or easterly swell but there will also be crumbly waves for the committed in onshores or windswells. Works on all tides but watch out for groynes and shore dump at high. Busy when good and rippy when big, as longshore drift can kick in.",Beginner - intermediate,"Good for all comers, beginners stick to low tide small days.",Welcoming,Competitive but pretty chilled.,Moderate,"Popular spot, can be very busy when its on.",Poor,"Not a classic, but can have long, fun waves in the right swell, with the occasional wedgy peak.",Medium,Can be a slog in bigger swells.,Fair,Was terrible but getting better. Still bad after rain.,"Rips, groynes, jetty, current when big.","Parking is tricky, there's a small car park on Runton Road or parking bays along the sea front.","Shortboard, fish, funboard, longboard, sup",Sand and flint.,September - February when the North Sea comes to life.
21,Withernsea,Yorkshire & Lincolnshire,England,UK + Ireland,53.7316,0.0351,Europe/London,,,,,,,,,,,,,,,,,,
22,Scarborough - South Bay,Yorkshire & Lincolnshire,England,UK + Ireland,54.2791,-0.3949,Europe/London,"This is the resort part of the town with a long, curved stretch of sand that arcs from the harbour round to the Spa to the south. The majority of the bay is pretty poor surf wise, flat, lacking in sandbars, and backed by amusements... Good fish & chips through. This part of the bay is very sheltered so can be one of the few spots that stays clean in huge northerly storms. Where things get interesting is at the Spa end with its numerous areas of flat reef and where the currents conspire to produce better banks. Not high tide due to sea wall.",Beginner - intermediate,Fun spot for all abilities.,Doable,"Busy, hectic.",Moderate,May be one of the only spots breaking so expect crowds.,Fun,"Mostly a close-out or fat, can be fun waves at southern end.",Medium,Any size quite hard work.,Clean,OK.,"Crowds, rips, rocks at southern end.",Parking is tricky here with limited sea front spaces near to Spa.,"Shortboard, funboard, longboard, fish",Sandy bay with reefs to south.,Big winter swells or storms December - February.
23,Whitby,Yorkshire & Lincolnshire,England,UK + Ireland,54.4917,-0.6164,Europe/London,"Starting in the northern lee of the harbour groynes, the beach at Whitby runs from the town all the way to Sandsend. The harbour end is sheltered during an onshore southeasterly wind and is a popular spot with local groms. There's a rip that runs next to the wall for an easy paddle out. There can be fun waves here from low to three quarter tide. There are more banks along the Promenade toward the golf course, the sand shifts regularly but it can get excellent.",Beginner - intermediate,"Best for intermediate, beginners beware of rips.",Welcoming,Pretty friendly.,Mellow,Usually uncrowded.,Fun,"Standard fun beachie with occasional good bank, Sandsend is usually a better bet.",Medium,"Can be a slog, there's a useful rip by harbour.",Fair,Not amazing.,Rips and rocks.,Parking along clifftop North Promenade.,"Shortboard, funboard, longboard, fish",Sand with rock patches near high.,September - November.
80,Etretat,The Channel,The Channel,France,49.7075,0.1984,Europe/Paris,,,,,,,,,,,,,,,,,,
92,Whangamata,Coromandel Peninsula,Coromandel Peninsula,New Zealand,-37.2074,175.8788,Pacific/Auckland,"A decent beach break and river mouth setup set in the town of Whangamata on Coromandel Peninsula, Whangamata Beach is relatively consistent and consistently fun. The left in particularly can get quite good, and is fed by the sediment that flows out of the river.",All Abilities,All surfers.,Doable,There are locals but they aren't too heavy.,Moderate,Gets busy.,Fun,"Fun beach break peaks, better left-hand sandbar by the river mouth.",Medium,Typical beach break currents.,Clean,Decent unless it rains.,"Rips, river runoff after rains.",Drive to Whangamata town and park at the beach.,"Shortboard, fish, funboard, bodyboard",Sand.,Swell is most consistent in January through March.
24,Saltburn Beach,Durham & Northumberland,England,UK + Ireland,54.5879,-0.9719,Europe/London,"Despite the freezing winter weather, Saltburn Beach was one of the first outposts of surfing on England's east coast and has developed into one of the UK's real wave-riding hubs. The beach is a fairly average proposition, with the occasional quality sandbar forming close to the pier. To the south sits a sand and cobblestone break called Penny's Hole with some lovely lefts and rights. At the far southern end, beneath the towering cliff, is Saltburn Point, a high quality slabstone reef that wakes occasionally in the lined up swells, throwing out fast, reeling righthanders.",All Abilities,"Good for all, beginners stick close to pier.",Welcoming,General relaxed vibe with the numerous regulars in the line-up.,Moderate,"Popular spot with locals and travelling surfers, crowded when good.",Fun,Nice vibe and camaraderie adds to fun of surfing here. Walling waves popular with longboarders.,Medium,"Fine generally, hard work when big.",Fair,Better than it was.,"Rips when big, still some pollution issues.",Beachside car park by surf shop.,"Shortboard, funboard, longboard, fish","Sand, cobbles, rock point.",September - November.
25,Sunderland,Durham & Northumberland,England,UK + Ireland,54.9121,-1.3541,Europe/London,"There are some classic breaks in the Northeast worth travelling for - this isn't really one of them. That doesn't mean its not a fun spot. To the north of the mouth of the Wear is a long, curved breakwater at Roker Beach. There's a right that wedges off the northern side of the wall creating fun waves in small clean swells, whereas on the other side of the breakwater, inside the rivermouth area, there's a peak with short rights and longer lefts that only works in massive swells. Water quality can be pretty poor.",Intermediate,"Best for intermediate, beginners beware of rips.",Welcoming,Chilled.,Mellow,Pretty quiet but small take off point.,Poor,"Fun, peaky waves.",Light,OK when small.,Fair,Can get nasty when it rains.,Can be wedgy and rippy when bigger.,Park at Harbour View car park on Marine Walk.,"Shortboard, fish, funboard, longboard, sup, bodyboard, bodysurfing",Sand.,"September - November for the right, December - February for the peak."
26,Tynemouth - Longsands,Durham & Northumberland,England,UK + Ireland,55.0267,-1.4234,Europe/London,"This deceptively long stretch of beach offers something for everyone. Popular with beginners and surf schools, as well as those chasing the heavier peaks out back. Pretty consistent and produces good banks that work through the tides. This beach has produced a number of world class and pro surfers.",Beginner - intermediate,"Good for all levels, popular with beginners.",Welcoming,"Pretty relaxed vibe, lots of local surfers started here so pretty cordial.",Moderate,"Can get crowded, especially during weekends.",Fun,"Can be excellent in clean, medium sized swells.",Light,Not too bad unless big.,Fair,"OK, can be nasty after heavy rains due to proximity to the River Tyne.",Crowds.,Parking along sea front on Grand Parade and a car park in the middle of the bay.,"Shortboard, fish, funboard, longboard, sup, bodyboard",Sand,"Works year round, but best September - November."
27,Hells Mouth (Porth Neigwl),Northwest Wales,Wales,UK + Ireland,52.8074,-4.5508,Europe/London,"Hells Mouth, or Porth Neigwl, is North Wales' best-known spot. It sits on the end of the Llyn Peninsula, a perfectly positioned swell catcher, and the sandy beach converts it into good quality waves. When a low pressure sits to the south off Biscay, the resulting swell passes between the Irish and Welsh coastlines, lighting up this long bay. The Corner is a wedgy left-hander found at the southern end of the beach, which peaks and peels along the rocky bottom, finishing on sand. The Reef is to the north and is a busy right-hander. There are many beach break peaks in between. Swells appear and disappear rapidly, so locals drop everything to be on it. Expect crowds.",Intermediate,"Fun for all when small, but best for intermediates when the swell kicks in.",Doable,Tolerant.,Moderate,"Can get busy, but there's a big beach to spread out.",Fun,"Popular spot with crowded but good quality, wedgy peaks. Excellent on its day.",Medium,"Usually defined banks with rips, hard when bigger.",Clean,OK.,"Can be heavy, rips when big, crowds on main peaks.",Small parking area at southern end with path to beach.,"Shortboard, fish, funboard, longboard, bodyboard",Beach break with reefs.,"Can break any time of year, but mostly December - February especially in big Atlantic storms."
28,Pease Bay,Southeast Scotland,Scotland,UK + Ireland,55.9319,-2.3328,Europe/London,"A bustling, crowded beachbreak at the southern end of the east coast, Pease Bay's popularity is enhanced by its close proximity to Edinburgh, as well as its good quality, user friendly waves. It's slightly sheltered position means it takes a decent swell pushing down the North Sea to start working. A rocky right peels at the southern end while a decent, fun left breaks at the northern end of the bay. Reliable peaks wedge up along the beach; a flexible spot for a range of abilities.",Beginner - intermediate,"Suitable for any and all surfers, especially when small.",Doable,"Competitive, indifferent.",Moderate,Large crowds.,Fun,"Can have quality waves in the clean, medium sized swell.",Medium,Not too bad unless big.,Clean,OK.,"Crowds, rocks.",Park by holiday camp near beach.,"Shortboard, funboard, longboard, fish, sup, bodyboard",Mostly sand with rock reef.,September - February when the North Sea comes to life.
29,Porthcawl - Coney Beach,Severn Estuary,Wales,UK + Ireland,51.4766,-3.696,Europe/London,"Sheltered sandy bay to east of breakwater that works on all tides. In the right conditions it can have a rare, long, winding, low tide righthander that the locals have christened ironically The Superbank. There's also a series of peaks as the tide pushes in. A haven in big swells / storms for the large local crew.",Beginner - intermediate,Good for all when small and clean. Best left to more experienced surfers when size picks up.,Welcoming,Tolerant if respectful.,Moderate,Popular spot.,Fun,"Not a classic, but can be fun.",Medium,Big rips at low tide.,Fair,OK - can be sewage after heavy rains.,"Rips when big, especially at low.",Beachfront carpark and parking on Promenade.,"Shortboard, fish, funboard, longboard, sup, bodyboard",Sand.,December - February.
30,Aberavon,Severn Estuary,Wales,UK + Ireland,51.5853,-3.8127,Europe/London,"One of the region's most famous spots, whose industrial setting, complete with steel works, is in stark contrast to its nearby Gower cousins. The breakwater here helps sculpt the sand to create a prominent bank that fires long lefts and short rights from low to mid, while high tide sees the waves rebounding off the breakwater warping the line-up. This spot is capable of holding a decent sized swell.",Intermediate - advanced,"Crowded, heavy and rippy so not for inexperienced.",Doable,Competitive.,Moderate,Large local crew.,Fun,Excellent in clean swells when a picture perfect A frame can form.,Medium,Rippy when big.,Fair,Can be poor due to pollution from industry and sewage.,"Rips, heavy waves, crowds.",Exiting the water can be tricky at high. Parking close to breakwater.,"Shortboard, fish, longboard, bodyboard",Sand.,September - February.
31,Langland Bay,Gower Peninsula,Wales,UK + Ireland,51.5661,-4.0101,Europe/London,"Home to a score of breaks, from points, to reefs and beachies, each with its own crews and its own moods. The most famous draw is Crab Island, an offshore reef that sticks its head above water at low tide. The take-off is an elevator drop, which leads into a fast walling right with rewarding barrels in clean swells. Home to one of the most core crews in Wales, snagging set waves isn't an easy task. Note, the heavy rip can push away from the peak. Outside Point is a low tide, mellow reef popular with longboarders. Inside Point and S*** Pipe is a mid-tide reef with walling rights, again popular with longboarders. Langland Reef (Kevs) is a busy, mid-tide peak with a short left and long right. Middle Of The Bay (MOTB) is a left that breaks into a strong rip opposite The Reef - which is actually a sandbank. Rotherslade Left, out from MOTB, has walling lefts over a low tide sandbank.",Intermediate - advanced,"Intermediate for most breaks, advanced for Crab Island.",Doable,"Competitive, but relaxed with a bit of humility and respect.",Moderate,Always busy.,Fun,"Flexible, with fun to classic breaks, loads of potential to find good peaks in clean swells.",Medium,Rips when big and on dropping tide.,Clean,OK.,"Rips, shallow, crowds.",Beachfront parking.,"Shortboard, fish, funboard, longboard, bodyboard, sup",Mix of sandbanks and reefs.,"Works year round, but best September - February."
32,Llangennith,Gower Peninsula,Wales,UK + Ireland,51.5961,-4.3057,Europe/London,"This three-mile stretch of flat sand, set against a vast expanse of dunes, is hugely popular. The sheer size of the beach and the inconsistency of distinguished sandbars means that the waves tend to lack punch and definition, however it does break regularly and works through the tides. This spot prefers small surf, as larger swells tend to close out, meaning a hell paddle through the channel-free whitewater. One of the epicentres of the Welsh surf scene.",Beginner - intermediate,"Good for all, popular with beginners when small.",Welcoming,Relaxed.,Moderate,"Crowded during holidays and weekends, busy around access points. Room to spread out.",Fun,"Beautiful, consistent, fun spot with unchallenging waves.",Medium,"Not much of a channel, so can be hard work.",Clean,Clean.,Rips when bigger.,Car park behind the dunes.,"Shortboard, funboard, longboard, fish, sup, bodyboard",Sand.,September - November in clean swells.
33,Tenby South Beach,Pembrokeshire,Wales,UK + Ireland,51.6661,-4.6997,Europe/London,,,,,,,,,,,,,,,,,,
34,Freshwater West,Pembrokeshire,Wales,UK + Ireland,51.6499,-5.0636,Europe/London,"Sitting out on the southwestern tip of Wales, it's easy to see why ""Fresh West"" is such a swell magnet. There are two main stretches of beach; the main beach to the north is a vast length of sand backed by dunes, the smaller to the south is a sometimes-rocky bay that can disappear at high. The two are divided by a low headland that can have a good right in front breaking over a reef. The main beach holds big swells, but is rippy in any size, so beginners take care. Frainslake Sands to the south is out of bounds and lies within the Castlemartin MOD firing range.",All Abilities,Always rippy so beginners stick to small days.,Welcoming,Fairly relaxed.,Moderate,Usually busy due to consistency.,Fun,"Consistent spot with good banks, occasionally excellent.",Medium,"OK when small, heavy paddle when big.",Clean,Good.,Rips and rocks.,"Not a huge amount of parking here, a couple of small car parks and road parking.","Shortboard, fish, funboard, longboard, sup, bodyboard",Sand and rock patches.,"Works year round, but best September - November."
35,Newgale,Pembrokeshire,Wales,UK + Ireland,51.84,-5.12,Europe/London,"A huge expanse of quality beachbreak at the northern end of St Brides Bay, faces west so picks up a decent amount of swell. Popular summer destination for holidaymakers, but plenty of room to spread out. Year round consistent banks. Sand with shingle at high tide.",Beginner - intermediate,Good for all comers.,Welcoming,Friendly.,Mellow,"Busy in summer, quiet out of season.",Fun,"Big beach with loads of potential, consistent banks with northern end usually biggest.",Light,"Easy when small, tough when bigger.",Clean,Clean.,Rips when big.,Large car parks on Beachfront.,"Shortboard, funboard, longboard, fish, bodyboard",Sand.,Best September - February.
36,Barmouth,Northwest Wales,Wales,UK + Ireland,52.75,-4.1,Europe/London,,,,,,,,,,,,,,,,,,
37,Rhosneigr (Traeth Llydan),Northwest Wales,Wales,UK + Ireland,53.2204,-4.5151,Europe/London,"Not exactly renowned for the quality of its surf, this long stretch of sandy beach is more popular with kitesurfers and windsurfers, but on those super rare days when a SW swell threads the needle between Ireland and the Llyn Peninsula there can be fun waves here. It mostly gets onshore windswell through. Better banks form by the stream.",Beginner - intermediate,Often onshore and small so OK for all comers.,Welcoming,Chilled.,Mellow,Quiet.,Poor,"Not a classic worth travelling for, really a once in a blue moon kind of spot. Super fickle beachbreak, usually onshore windswell.",Light,"OK when small, heavy paddle when big.",Clean,OK.,Rips and currents when big.,"Tricky parking, a couple of small car parks set back from the beach.","Funboard, fish, longboard, sup, kiteboard",Sand.,December - February.
